,BACB requirements,Years certified,Years supervisor,Area of study - Selected Choice,Area of study - Other - Text,Job classification - Selected Choice,Job classification - Other - Text,Place of employment - Selected Choice,Place of employment - Other - Text,State,Supervision mode - Selected Choice,Supervision mode - Other - Text,Supervision format,Supervision training - Selected Choice,Supervision training - Other - Text,100% fieldwork candidates,100% fieldwork pass rate,Discontinued fieldwork,Supervision resources - Selected Choice,Supervision resources - Other - Text,Confirm required skill set,Number of candidates,Literature for new competency,Professional groups,Outside training area (yes/no),Credentialing requirements,Training and supervision,Allotted hours,Number of clients,60% fieldwork hours,Who dictates caseload,Supervise RBTs (yes/no),RBT supervision %,Peer evaluate,Past 12 months candidates,Supervision schedule,Scheduled hours,Practice skill set,Written supervision contract,Positive and corrective feedback,Supervision termination clause,Behavior skills training,Discourage distractions,Evaluate supervisee performance,Performance expectations,Written evaluation system,Supervision fieldwork protocol source - Selected Choice,Supervision fieldwork protocol source - Other - Text,Document feedback,Review supervision contract,Evaluate client performance,Return communications within 48,Supervision fidelity,Instructions and demonstration,Take baseline,Detect barriers to supervision,BST case presentation,Send agenda,Immediate feedback,Continue relationship,Observe body language,Schedule contacts,Maintain positive rapport,Self-assess interpersonal skills,Group supervision,Create group activities,Supervisory study groups,Include ethics,Arrive on time,Discuss how to give feedback,Schedule direct observations,Schedule standing appointments,Review literature,Meeting notes,Attend conferences,Peer review opportunity,Participate in peer review,Seek mentorship,Area of study,Job classification,Place of employment,Supervision mode,Supervision training,Supervision resources,Supervision fieldwork protocol source,PECC 5.01,PECC 5.02,PECC 5.03,PECC 5.04,PECC 5.05,PECC 5.06,PECC 5.07,MISC
187,Yes,3-5 years,3-5 years,Education,,Behavior analyst,,Clinic,,South,"Agency,Individual private practice",,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,,,Performance feedback,,3.0,1-3 candidates,4.0,4.0,Yes,4.0,5.0,0 hours,12+ clients/consumers,4.0,Employer,Yes,15% of patient's direct services,3.0,1-3 candidates,3.0,0 hours,4.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,1.0,"Mentorship,Online CEU training,Published supervision curriculum",,4.0,5.0,3.0,5.0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,Yes,2.0,4.0,Education,Behavior analyst,Clinic,"Agency,Individual private practice","Internet based continuing education,Conferences or workshops,Individual mentoring",Performance feedback,"Mentorship,Online CEU training,Published supervision curriculum",3.6,3.25,3.5,3.4,4.0,3.3333333333333335,2.5,3.5
188,Yes,>5 years,3-5 years,Education,,Behavior analyst,,Other,,South,Individual private practice,,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,0.0,,,Supervision Curriculum,,3.0,1-3 candidates,3.0,3.0,Yes,3.0,2.0,1-5 hours a week,12+ clients/consumers,5.0,Employer,Yes,10% of patient's direct services,2.0,1-3 candidates,5.0,1-5 hours a week,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Graduate course work material,,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,No,3.3248407643312103,4.0,Education,Behavior analyst,Other,Individual private practice,"Internet based continuing education,Conferences or workshops",Supervision Curriculum,Graduate course work material,2.4,5.0,3.5,3.4,4.6,4.5,5.0,4.089416952474277
189,Yes,3-5 years,3-5 years,Other,,Other,,Other,,Midwest,University,,Intensive practicum,"Institution based course work,Internet based continuing education,Individual mentoring",,20.0,3.0,0.0,"Administrative assistance,Monetary compensation,Supervision Curriculum",,4.0,4-7 candidates,4.0,5.0,No,4.441860465116279,4.523255813953488,0 hours,I do not provide consultation to clients/consumers,4.0,I do not provide consultation to clients/consumers,No,I do not supervise RBTs.,3.0,1-3 candidates,5.0,1-5 hours a week,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,"Graduate course work material,Published supervision curriculum",,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,2.0,2.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,No,3.3248407643312103,5.0,Other,Other,Other,University,"Institution based course work,Internet based continuing education,Individual mentoring","Administrative assistance,Monetary compensation,Supervision Curriculum","Graduate course work material,Published supervision curriculum",4.593023255813954,4.75,4.5,5.0,4.4,4.666666666666667,4.0,4.3971092601665855
190,Yes,3-5 years,3-5 years,Counseling,,Behavior analyst,,Clinic,,South,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,1.0,1.0,0.0,"Protected office planning time,Training on supervision practices,Performance feedback,Supervision Curriculum",,5.0,4-7 candidates,5.0,3.0,No,4.441860465116279,4.523255813953488,16+ hours a week,12+ clients/consumers,5.0,Self,Yes,5% of patient's direct services,4.0,4-7 candidates,5.0,11-15 hours a week,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,1.0,"Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",,5.0,5.0,4.0,5.0,3.0,5.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,Yes,4.0,4.0,Counseling,Behavior analyst,Clinic,Agency,"Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Training on supervision practices,Performance feedback,Supervision Curriculum","Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",3.9930232558139536,5.0,5.0,3.2,5.0,4.0,3.5,4.153846153846154
191,Yes,0-2 years,0-2 years,Behavior analysis,,Other,,Clinic,,Midwest,Agency,,Group and Individual fieldwork,Institution based course work,,3.0,0.0,0.0,Protected office planning time,,3.0,4-7 candidates,4.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,5.0,Employer,Yes,10% of patient's direct services,1.0,4-7 candidates,1.0,1-5 hours a week,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,"Graduate course work material,Online CEU training",,5.0,5.0,1.0,5.0,1.0,2.0,1.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0,5.0,4.0,3.0,1.0,3.0,No,3.3248407643312103,3.0,Behavior analysis,Other,Clinic,Agency,Institution based course work,Protected office planning time,"Graduate course work material,Online CEU training",3.1930232558139533,4.0,3.0,3.6,4.8,3.5,2.5,3.550955414012739
192,Yes,>5 years,3-5 years,Behavior analysis,,Behavior analyst,,Other,,West,Individual private practice,,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,4.0,4.0,0.0,"Protected office planning time,Administrative assistance,Monetary compensation,Supervision Curriculum",,4.0,4-7 candidates,3.0,3.0,No,4.441860465116279,4.523255813953488,6-10 hours a week,12+ clients/consumers,3.0,Self,Yes,20% of patient's direct services,1.0,1-3 candidates,4.0,6-10 hours a week,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,"Graduate course work material,Mentorship,Online CEU training,Published supervision curriculum",,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,Yes,4.0,3.0,Behavior analysis,Behavior analyst,Other,Individual private practice,"Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Administrative assistance,Monetary compensation,Supervision Curriculum","Graduate course work material,Mentorship,Online CEU training,Published supervision curriculum",3.5930232558139537,4.25,4.0,3.8,4.4,4.333333333333333,4.75,4.0
193,Yes,>5 years,>5 years,Education,,Professor,,University or college,,South,University,,Intensive practicum,"Institution based course work,Internet based continuing education,Conferences or workshops",,0.0,0.0,0.0,"Monetary compensation,Supervision Curriculum",,2.0,1-3 candidates,3.0,4.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,I do not provide consultation to clients/consumers,4.0,I do not provide consultation to clients/consumers,No,I do not supervise RBTs.,2.0,1-3 candidates,5.0,6-10 hours a week,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,Graduate course work material,,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,Yes,5.0,3.0,Education,Professor,University or college,University,"Institution based course work,Internet based continuing education,Conferences or workshops","Monetary compensation,Supervision Curriculum",Graduate course work material,3.5930232558139537,4.75,3.0,2.8,3.8,3.8333333333333335,3.75,3.5384615384615383
194,Yes,>5 years,3-5 years,Psychology,,Psychologist,,Clinic,,South,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,1.0,1.0,0.0,"Protected office planning time,Training on supervision practices,Monetary compensation",,4.0,1-3 candidates,5.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,4.0,Self,Yes,5% of patient's direct services,1.0,1-3 candidates,5.0,1-5 hours a week,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,1.0,Online CEU training,,3.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,1.0,5.0,No,3.3248407643312103,3.0,Psychology,Psychologist,Clinic,Agency,"Internet based continuing education,Conferences or workshops","Protected office planning time,Training on supervision practices,Monetary compensation",Online CEU training,3.1930232558139533,4.5,4.0,3.4,4.2,4.0,2.5,3.550955414012739
195,Yes,>5 years,>5 years,Behavior analysis,,Behavior analyst,,Other,,West,"Agency,Individual private practice",,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops",,4.0,4.0,0.0,"Performance feedback,Monetary compensation,Supervision Curriculum",,5.0,1-3 candidates,5.0,2.0,No,4.441860465116279,4.523255813953488,6-10 hours a week,12+ clients/consumers,2.0,Employer,No,15% of patient's direct services,4.0,1-3 candidates,4.0,11-15 hours a week,4.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,2.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",,4.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Yes,3.0,3.0,Behavior analysis,Behavior analyst,Other,"Agency,Individual private practice","Internet based continuing education,Conferences or workshops","Performance feedback,Monetary compensation,Supervision Curriculum","Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",4.193023255813953,3.75,4.5,4.2,4.0,4.0,3.75,4.269230769230769
196,Yes,3-5 years,0-2 years,Psychology,,Behavior analyst,,Clinic,,South,Agency,,Individual fieldwork,"Internet based continuing education,Individual mentoring",,0.0,,,"Protected office planning time,Administrative assistance,Training on supervision practices,Performance feedback,Supervision Curriculum",,5.0,1-3 candidates,4.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,2.0,Employer,Yes,20% of patient's direct services,3.0,12+ candidates,3.0,1-5 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,Graduate course work material,,1.0,1.0,5.0,5.0,1.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,4.0,5.0,3.0,4.0,4.0,1.0,1.0,1.0,No,3.3248407643312103,2.0,Psychology,Behavior analyst,Clinic,Agency,"Internet based continuing education,Individual mentoring","Protected office planning time,Administrative assistance,Training on supervision practices,Performance feedback,Supervision Curriculum",Graduate course work material,2.993023255813953,3.75,5.0,3.0,3.2,4.333333333333333,4.0,3.3586477217050468
197,Yes,>5 years,>5 years,Education,,Behavior analyst,,Other,,South,"University,Agency,Individual private practice",,Group and Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,8.0,5.0,13.0,Training on supervision practices,,3.0,4-7 candidates,4.0,3.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,3.0,Self,Yes,5% of patient's direct services,1.0,1-3 candidates,1.0,1-5 hours a week,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,"Graduate course work material,Live CEU events,Online CEU training",,4.0,5.0,4.0,4.0,2.0,5.0,2.0,5.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,4.0,No,3.3248407643312103,3.0,Education,Behavior analyst,Other,"University,Agency,Individual private practice","Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",Training on supervision practices,"Graduate course work material,Live CEU events,Online CEU training",3.5930232558139537,3.0,4.0,5.0,4.4,4.0,3.25,3.704801567858893
198,Yes,3-5 years,3-5 years,Education,,Behavior analyst,,Home-based,,South,Individual private practice,,Group and Individual fieldwork,"Institution based course work,Individual mentoring",,2.0,2.0,0.0,"Protected office planning time,Training on supervision practices,Supervision Curriculum",,4.0,1-3 candidates,3.0,5.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,3.0,Self,Yes,20% of patient's direct services,1.0,4-7 candidates,5.0,6-10 hours a week,5.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,"Graduate course work material,Live CEU events,Online CEU training,Published supervision curriculum",,4.0,5.0,4.0,5.0,1.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,No,3.3248407643312103,4.0,Education,Behavior analyst,Home-based,Individual private practice,"Institution based course work,Individual mentoring","Protected office planning time,Training on supervision practices,Supervision Curriculum","Graduate course work material,Live CEU events,Online CEU training,Published supervision curriculum",3.5930232558139537,4.5,4.5,3.6,4.4,4.0,3.0,3.9355707986281234
199,Yes,3-5 years,0-2 years,Behavior analysis,,Behavior analyst,,Home-based,,South,Individual private practice,,Group and Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,,,"Administrative assistance,Training on supervision practices,Performance feedback",,1.0,1-3 candidates,5.0,2.0,No,4.441860465116279,4.523255813953488,11-15 hours a week,7-11 clients/consumer,4.0,Self,Yes,20% of patient's direct services,5.0,1-3 candidates,5.0,11-15 hours a week,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,"Graduate course work material,Mentorship",,1.0,5.0,4.0,5.0,1.0,3.0,3.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,3.0,5.0,5.0,4.0,4.0,1.0,5.0,No,3.3248407643312103,4.0,Behavior analysis,Behavior analyst,Home-based,Individual private practice,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring","Administrative assistance,Training on supervision practices,Performance feedback","Graduate course work material,Mentorship",3.5930232558139537,4.25,1.5,3.4,4.2,4.0,3.0,3.8586477217050468
200,Yes,3-5 years,3-5 years,Psychology,,Researcher,,Home-based,,Midwest,Agency,,Group and Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,90.0,100.0,2.0,"Protected office planning time,Training on supervision practices,Performance feedback,Monetary compensation,Supervision Curriculum",,4.0,7-11 candidates,4.0,5.0,Yes,5.0,5.0,11-15 hours a week,4-7 clients/consumers,5.0,Employer,No,I do not supervise RBTs.,3.0,12+ candidates,5.0,16+ hours a week,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,"Graduate course work material,Live CEU events,Online CEU training,Published supervision curriculum",,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,5.0,5.0,Psychology,Researcher,Home-based,Agency,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Training on supervision practices,Performance feedback,Monetary compensation,Supervision Curriculum","Graduate course work material,Live CEU events,Online CEU training,Published supervision curriculum",4.8,5.0,4.0,5.0,4.8,4.666666666666667,4.25,4.538461538461538
201,Yes,0-2 years,0-2 years,Behavior analysis,,Behavior analyst,,Home-based,,South,Individual private practice,,Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,,,"Monetary compensation,Supervision Curriculum",,4.0,1-3 candidates,3.0,1.0,Yes,4.0,5.0,1-5 hours a week,7-11 clients/consumer,4.0,Self,Yes,15% of patient's direct services,2.0,1-3 candidates,4.0,1-5 hours a week,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,"Mentorship,Published supervision curriculum",,3.0,2.0,2.0,5.0,4.0,5.0,2.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,4.0,1.0,5.0,No,3.3248407643312103,4.0,Behavior analysis,Behavior analyst,Home-based,Individual private practice,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring","Monetary compensation,Supervision Curriculum","Mentorship,Published supervision curriculum",2.8,4.25,4.5,3.4,4.0,4.5,3.5,3.627878490935816
202,Yes,>5 years,>5 years,Other,,Behavior analyst,,Clinic,,South,Individual private practice,,Individual fieldwork,Nothing,,6.0,5.0,1.0,"Training on supervision practices,Monetary compensation,Supervision Curriculum",,5.0,1-3 candidates,5.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,3.0,Self,Yes,20% of patient's direct services,1.0,1-3 candidates,4.0,1-5 hours a week,5.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",,5.0,5.0,1.0,5.0,1.0,5.0,1.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,No,3.3248407643312103,4.0,Other,Behavior analyst,Clinic,Individual private practice,Nothing,"Training on supervision practices,Monetary compensation,Supervision Curriculum","Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",3.1930232558139533,3.75,5.0,3.2,4.6,4.833333333333333,1.75,3.5894169524742776
203,Yes,3-5 years,0-2 years,Counseling,,Other,,Other,,South,Agency,,Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,1.0,1.0,0.0,"Protected office planning time,Administrative assistance,Training on supervision practices,Performance feedback",,5.0,1-3 candidates,4.0,4.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,5.0,Employer,Yes,5% of patient's direct services,3.0,1-3 candidates,4.0,6-10 hours a week,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,No,3.3248407643312103,3.0,Counseling,Other,Other,Agency,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Administrative assistance,Training on supervision practices,Performance feedback","Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",3.9930232558139536,4.75,4.5,3.4,4.6,4.833333333333333,4.75,4.089416952474277
204,Yes,>5 years,3-5 years,Behavior analysis,,Behavior analyst,,Other,,South,Individual private practice,,Individual fieldwork,Internet based continuing education,,8.0,7.0,0.0,"Training on supervision practices,Performance feedback,Monetary compensation,Supervision Curriculum",,2.0,1-3 candidates,3.0,3.0,Yes,2.0,3.0,1-5 hours a week,1-3 clients/consumers,2.0,Self,No,I do not supervise RBTs.,3.0,1-3 candidates,4.0,1-5 hours a week,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,"Online CEU training,Published supervision curriculum",,4.0,5.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,No,3.3248407643312103,3.0,Behavior analysis,Behavior analyst,Other,Individual private practice,Internet based continuing education,"Training on supervision practices,Performance feedback,Monetary compensation,Supervision Curriculum","Online CEU training,Published supervision curriculum",2.4,3.25,2.5,2.8,4.4,3.6666666666666665,3.75,3.2432631063204314
205,Yes,3-5 years,0-2 years,Education,,Behavior analyst,,Other,,South,Agency,,Group and Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops",,1.0,0.0,0.0,"Protected office planning time,Monetary compensation,Other",web-based CEUs,4.0,1-3 candidates,4.0,2.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,4.0,Employer,No,I do not supervise RBTs.,1.0,1-3 candidates,4.0,1-5 hours a week,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,"Graduate course work material,Online CEU training,Published supervision curriculum",,4.0,5.0,2.0,5.0,1.0,4.0,3.0,5.0,5.0,1.0,1.0,5.0,4.0,5.0,5.0,4.0,3.0,1.0,1.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,1.0,No,3.3248407643312103,1.0,Education,Behavior analyst,Other,Agency,"Institution based course work,Internet based continuing education,Conferences or workshops","Protected office planning time,Monetary compensation,Otherweb-based CEUs","Graduate course work material,Online CEU training,Published supervision curriculum",3.1930232558139533,4.5,3.5,3.4,4.2,3.8333333333333335,2.5,3.5894169524742776
206,Yes,>5 years,>5 years,Education,,Behavior analyst,,Other,,Northeast,Other,public school setting,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,1.0,1.0,0.0,Protected office planning time,,3.0,1-3 candidates,3.0,3.0,Yes,4.0,5.0,1-5 hours a week,12+ clients/consumers,2.0,Self,No,I do not supervise RBTs.,1.0,1-3 candidates,4.0,1-5 hours a week,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,"Graduate course work material,Live CEU events,Online CEU training,Published supervision curriculum",,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,Yes,3.0,4.0,Education,Behavior analyst,Other,Otherpublic school setting,"Internet based continuing education,Conferences or workshops",Protected office planning time,"Graduate course work material,Live CEU events,Online CEU training,Published supervision curriculum",3.8,3.5,3.5,3.8,4.4,4.5,4.25,3.923076923076923
207,Yes,3-5 years,3-5 years,Behavior analysis,,Behavior analyst,,Home-based,,South,"Agency,Individual private practice",,Group and Individual fieldwork,"Internet based continuing education,Individual mentoring",,6.0,2.0,0.0,Supervision Curriculum,,3.0,4-7 candidates,3.0,2.0,No,4.441860465116279,4.523255813953488,0 hours,12+ clients/consumers,4.0,Self,Yes,10% of patient's direct services,2.0,4-7 candidates,2.0,1-5 hours a week,3.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",,4.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,1.0,3.0,5.0,3.0,5.0,4.0,4.0,2.0,2.0,No,3.3248407643312103,3.0,Behavior analysis,Behavior analyst,Home-based,"Agency,Individual private practice","Internet based continuing education,Individual mentoring",Supervision Curriculum,"Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",2.993023255813953,3.75,3.0,3.2,4.2,4.666666666666667,4.0,3.5124938755512005
208,Yes,>5 years,3-5 years,Psychology,,Behavior analyst,,Home-based,,West,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,3.0,3.0,0.0,Training on supervision practices,,4.0,1-3 candidates,2.0,4.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,4.0,Self,Yes,10% of patient's direct services,1.0,1-3 candidates,2.0,1-5 hours a week,4.0,5.0,4.0,5.0,3.0,4.0,2.0,3.0,4.0,"Graduate course work material,Mentorship,Online CEU training,Published supervision curriculum",,3.0,5.0,2.0,5.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,5.0,4.0,2.0,1.0,1.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,No,3.3248407643312103,2.0,Psychology,Behavior analyst,Home-based,Agency,"Internet based continuing education,Conferences or workshops,Individual mentoring",Training on supervision practices,"Graduate course work material,Mentorship,Online CEU training,Published supervision curriculum",3.1930232558139533,3.5,4.0,2.6,3.8,3.5,2.25,3.127878490935816
209,Yes,3-5 years,3-5 years,Behavior analysis,,Behavior analyst,,Other,,Northeast,University,,Intensive practicum,Institution based course work,,2.0,1.0,,"Administrative assistance,Performance feedback,Supervision Curriculum,Other",Clinical lead team in my organization to support supervisees across disciplines,5.0,1-3 candidates,5.0,3.0,Yes,3.0,3.0,1-5 hours a week,4-7 clients/consumers,5.0,Employer,No,I do not supervise RBTs.,3.0,1-3 candidates,1.0,1-5 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,Graduate course work material,,1.0,5.0,4.0,5.0,1.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,Yes,2.0,3.0,Behavior analysis,Behavior analyst,Other,University,Institution based course work,"Administrative assistance,Performance feedback,Supervision Curriculum,OtherClinical lead team in my organization to support supervisees across disciplines",Graduate course work material,3.0,4.0,5.0,3.6,4.6,4.333333333333333,3.5,3.9615384615384617
210,Yes,3-5 years,3-5 years,Psychology,,Behavior analyst,,Other,,South,Other,community program,Individual fieldwork,"Institution based course work,Conferences or workshops",,0.0,0.0,0.0,Other,I receive no help,2.0,1-3 candidates,2.0,1.0,No,4.441860465116279,4.523255813953488,0 hours,12+ clients/consumers,2.0,Employer,Yes,10% of patient's direct services,1.0,1-3 candidates,3.0,1-5 hours a week,3.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,"Graduate course work material,Online CEU training",,5.0,5.0,3.0,5.0,1.0,5.0,1.0,3.0,3.0,2.0,4.0,1.0,3.0,5.0,4.0,3.0,1.0,2.0,1.0,2.0,5.0,3.0,5.0,5.0,3.0,2.0,3.0,Yes,1.0,1.0,Psychology,Behavior analyst,Other,Othercommunity program,"Institution based course work,Conferences or workshops",OtherI receive no help,"Graduate course work material,Online CEU training",2.5930232558139537,3.75,2.5,2.4,4.0,4.166666666666667,2.5,2.730769230769231
